1. After linking with hexagon
id=18996051, custId=58d7eea2-99d0-416c-b415-472a7823c808, eventTimestamp=2016-07-01T06:35:43.076+03:00, lon=-71.1052, hexagonId=67, polygonId=7, lat=42.3906
id=18995232, custId=005c4e66-e074-4342-81ee-2aa32ebb337f, eventTimestamp=2016-07-01T06:32:05.928+03:00, lon=-71.1029, hexagonId=65, polygonId=6, lat=42.3464
id=18995291, custId=b16f460a-0ee7-4fc2-8c76-e90a741d7b77, eventTimestamp=2016-07-01T06:32:20.826+03:00, lon=-71.1008, hexagonId=208, polygonId=6, lat=42.3343
id=18995012, custId=604c107f-29e0-4c59-a669-4ec1795a9d88, eventTimestamp=2016-07-01T06:31:12.637+03:00, lon=-71.0794, hexagonId=72, polygonId=6, lat=42.3468
id=18994776, custId=aa97bd80-22b9-45b0-a246-ac7cd5c4a466, eventTimestamp=2016-07-01T06:30:21.023+03:00, lon=-71.0624, hexagonId=225, polygonId=9, lat=42.3552
id=18994865, custId=b5d4aea0-6be7-11e5-98ca-a9787b326421, eventTimestamp=2016-07-01T06:30:41.590+03:00, lon=-71.0461, hexagonId=225, polygonId=9, lat=42.353
id=18994734, custId=9034b4a2-07f0-465e-895c-aff601c8d128, eventTimestamp=2016-07-01T06:30:12.983+03:00, lon=-71.1221, hexagonId=201, polygonId=5, lat=42.3516
id=18994729, custId=e94e9483-b3b1-46c2-bcb2-019aa15e4cc8, eventTimestamp=2016-07-01T06:30:12.623+03:00, lon=-71.1697, hexagonId=177, polygonId=1, lat=42.3484
id=18995586, custId=730df324-c6cf-4dc9-99be-232c03463b98, eventTimestamp=2016-07-01T06:33:42.627+03:00, lon=-71.0962, hexagonId=65, polygonId=6, lat=42.3449
id=18994689, custId=18d0adde-0917-4583-915c-3c254db54b91, eventTimestamp=2016-07-01T06:30:05.691+03:00, lon=-71.1051, hexagonId=202, polygonId=7, lat=42.3832
id=18994738, custId=689e7ace-6755-4be3-a1df-3100868da4d4, eventTimestamp=2016-07-01T06:30:14.239+03:00, lon=-71.0622, hexagonId=225, polygonId=9, lat=42.3564
id=18995936, custId=a996604a-03e9-4a2d-976a-c43a88ede3bd, eventTimestamp=2016-07-01T06:35:10.817+03:00, lon=-71.1647, hexagonId=177, polygonId=1, lat=42.3543
id=18995984, custId=77631ff7-279f-4334-9ae0-64271db9cdde, eventTimestamp=2016-07-01T06:35:26.179+03:00, lon=-71.0571, hexagonId=79, polygonId=6, lat=42.3503
id=18996447, custId=a3d2e850-3594-41d7-adb3-0fe4ef39fb09, eventTimestamp=2016-07-01T06:36:48.132+03:00, lon=-71.1591, hexagonId=44, polygonId=2, lat=42.3399
id=18996276, custId=1274bce4-bd67-4d91-a01e-dbb2cab5ee20, eventTimestamp=2016-07-01T06:36:16.626+03:00, lon=-71.2283, hexagonId=null, polygonId=null, lat=42.4343
